tool,backend,noabstain_risk,gaponly_risk,gaponly_cov,vcsa_risk,vcsa_cov,recovery
attntrace,llama3.2-3b,0.233,0.243,0.96,0.154,0.78,0.089
attntrace,qwen2.5-3b,0.2,0.211,0.947,0.143,0.793,0.068
