case_id,backend,status,gap_orig,modeA_pred_success,queries_used,final_top1_is_culprit,final_gap,modeB_success,forced_top1_variance,q_var,vcsa_catches
narrativeqa_0107,llama3.2-3b,done,0.0017031860479619354,False,10,True,0.001974,False,1.8663717682443348e-08,1.3228971340595308e-07,
qmsum_0057,llama3.2-3b,done,0.002263918815349991,False,9,True,0.001695,False,1.8326669959378705e-08,1.3228971340595308e-07,
narrativeqa_0065,llama3.2-3b,done,0.002474021880577008,False,18,True,0.00159,False,7.569472160184887e-08,1.3228971340595308e-07,
narrativeqa_0008,llama3.2-3b,done,0.0025870630983263255,False,11,True,0.001668,False,8.641072213322332e-08,1.3228971340595308e-07,
qmsum_0077,llama3.2-3b,done,0.0026335671815710766,False,11,True,0.001473,False,5.865148011707788e-08,1.3228971340595308e-07,
narrativeqa_0113,llama3.2-3b,done,0.0026735887948521656,False,14,True,0.001324,False,5.1636138920230223e-08,1.3228971340595308e-07,
qmsum_0002,llama3.2-3b,done,0.0027059963959757067,False,11,True,0.001425,False,9.761344443859343e-08,1.3228971340595308e-07,
qmsum_0105,llama3.2-3b,done,0.0027476937776165344,False,11,True,0.000903,False,3.5846372981040986e-08,1.3228971340595308e-07,
qmsum_0060,llama3.2-3b,done,0.0028024292042986916,False,12,True,0.001619,False,2.7850679984453564e-08,1.3228971340595308e-07,
qmsum_0020,llama3.2-3b,done,0.0028146108638288244,False,11,True,0.001389,False,1.0643174874758188e-07,1.3228971340595308e-07,
narrativeqa_0028,llama3.2-3b,done,0.002893018340887307,False,11,True,0.001888,False,1.490472989473801e-08,1.3228971340595308e-07,
musique_0065,llama3.2-3b,done,0.0029216342391298407,False,14,True,0.002398,False,6.877672831251402e-08,1.3228971340595308e-07,
narrativeqa_0001,llama3.2-3b,done,0.0029639562126249075,False,11,True,0.001667,False,2.3489175049462574e-08,1.3228971340595308e-07,
qmsum_0088,llama3.2-3b,done,0.0030221557544012154,False,15,True,0.000716,False,1.9604699730280117e-07,1.3228971340595308e-07,
narrativeqa_0041,llama3.2-3b,done,0.0030282487882776,False,11,True,0.002446,False,2.6831296295881657e-08,1.3228971340595308e-07,
qmsum_0028,llama3.2-3b,done,0.0030502477845099447,False,11,True,0.001578,False,1.64695933335679e-07,1.3228971340595308e-07,
musique_0006,llama3.2-3b,done,0.0030894193438474426,False,10,True,0.00238,False,1.966694718191775e-08,1.3228971340595308e-07,
narrativeqa_0081,llama3.2-3b,done,0.0031011522832241926,False,11,True,0.001861,False,3.367463463632703e-08,1.3228971340595308e-07,
narrativeqa_0093,llama3.2-3b,done,0.003113596311198886,False,11,True,0.001076,False,1.656537484961973e-08,1.3228971340595308e-07,
narrativeqa_0024,llama3.2-3b,done,0.0031368778950041708,False,11,True,0.002425,False,1.8691851266794401e-07,1.3228971340595308e-07,
narrativeqa_0000,llama3.2-3b,done,0.0031535103376622176,False,11,True,0.001883,False,2.357603676728104e-07,1.3228971340595308e-07,
narrativeqa_0131,llama3.2-3b,done,0.0031587728143980106,False,11,True,0.00161,False,8.554273023264614e-08,1.3228971340595308e-07,
narrativeqa_0097,llama3.2-3b,done,0.00316721591904449,False,11,True,0.001359,False,3.720968422271653e-08,1.3228971340595308e-07,
narrativeqa_0003,llama3.2-3b,done,0.0031781035290982624,False,11,True,0.000971,False,8.334629342243716e-08,1.3228971340595308e-07,
qmsum_0091,llama3.2-3b,done,0.0032068125814056167,False,18,True,0.003033,False,1.1741410332888336e-07,1.3228971340595308e-07,
qmsum_0048,llama3.2-3b,done,0.0032307318609320753,False,9,True,0.002511,False,7.016519987246284e-08,1.3228971340595308e-07,
qmsum_0062,llama3.2-3b,done,0.0032437806571047607,False,11,True,0.000998,False,9.639236964176234e-08,1.3228971340595308e-07,
narrativeqa_0112,llama3.2-3b,done,0.003265605866312026,False,10,True,0.002487,False,5.971872951704427e-08,1.3228971340595308e-07,
narrativeqa_0119,llama3.2-3b,done,0.0032939217317934063,False,11,True,0.002182,False,1.3144408228527027e-07,1.3228971340595308e-07,
narrativeqa_0018,llama3.2-3b,done,0.0033064937160816044,False,10,True,0.002785,False,2.8042665078942264e-08,1.3228971340595308e-07,
qmsum_0029,llama3.2-3b,done,0.0033533096235866347,False,11,True,0.001522,False,1.4046720764326892e-07,1.3228971340595308e-07,
qmsum_0038,llama3.2-3b,done,0.003358944976103625,False,11,True,0.001873,False,3.3333554938508314e-07,1.3228971340595308e-07,
qmsum_0072,llama3.2-3b,done,0.003364565625128994,False,11,True,0.001511,False,8.217207181360209e-08,1.3228971340595308e-07,
qmsum_0032,llama3.2-3b,done,0.003380375142864228,False,18,True,0.002448,False,6.97706781238594e-08,1.3228971340595308e-07,
qmsum_0010,llama3.2-3b,done,0.003410662116948515,False,10,True,0.002742,False,4.16593337604354e-08,1.3228971340595308e-07,
musique_0049,llama3.2-3b,done,0.0034223442696210025,False,11,True,0.00238,False,1.3301544754540373e-08,1.3228971340595308e-07,
narrativeqa_0106,llama3.2-3b,done,0.0034391508014364673,False,11,True,0.003079,False,1.2697099691649782e-06,1.3228971340595308e-07,
qmsum_0069,llama3.2-3b,done,0.0034672328204448737,False,11,True,0.002568,False,4.235110395711672e-08,1.3228971340595308e-07,
qmsum_0008,llama3.2-3b,done,0.003470261998396988,False,15,True,0.002286,False,7.017646908025199e-08,1.3228971340595308e-07,
narrativeqa_0015,llama3.2-3b,done,0.0034781022272496057,False,11,True,0.001934,False,9.681973978103997e-08,1.3228971340595308e-07,
qmsum_0087,llama3.2-3b,done,0.0034839923744304823,False,11,True,0.00161,False,1.9313917576369022e-08,1.3228971340595308e-07,
qmsum_0055,llama3.2-3b,done,0.0035096443840302526,False,11,True,0.000958,False,2.7744812669538987e-08,1.3228971340595308e-07,
musique_0096,llama3.2-3b,done,0.0035369238175917417,False,11,True,0.002848,False,2.9286344016554722e-08,1.3228971340595308e-07,
qmsum_0030,llama3.2-3b,done,0.003585762381488975,False,15,True,0.002886,False,7.281399660996613e-08,1.3228971340595308e-07,
narrativeqa_0006,llama3.2-3b,done,0.0036071777140023187,False,11,True,0.001305,False,1.0492927060568036e-07,1.3228971340595308e-07,
musique_0008,llama3.2-3b,done,0.003640251129399985,False,9,True,0.003278,False,6.86148950990173e-08,1.3228971340595308e-07,
narrativeqa_0092,llama3.2-3b,done,0.003648130991658964,False,11,True,0.001902,False,1.3121812969529856e-07,1.3228971340595308e-07,
qmsum_0111,llama3.2-3b,done,0.0036666869842024016,False,11,True,0.001175,False,1.0681057460715238e-07,1.3228971340595308e-07,
musique_0059,llama3.2-3b,done,0.003680480079316167,False,11,True,0.002582,False,9.531750322366861e-08,1.3228971340595308e-07,
qmsum_0040,llama3.2-3b,done,0.00371066498960967,False,11,True,0.002524,False,2.7866025220646407e-07,1.3228971340595308e-07,
qmsum_0068,llama3.2-3b,done,0.0037315640504294563,False,11,True,0.001754,False,7.661949439352611e-07,1.3228971340595308e-07,
narrativeqa_0060,llama3.2-3b,done,0.003746283872169442,False,11,True,0.002446,False,9.101730569227584e-08,1.3228971340595308e-07,
musique_0056,llama3.2-3b,done,0.003779365905627076,False,11,True,0.002689,False,2.098667550853861e-08,1.3228971340595308e-07,
musique_0044,llama3.2-3b,done,0.0037843143690706182,False,11,True,0.002204,False,1.1730006832522122e-07,1.3228971340595308e-07,
narrativeqa_0029,llama3.2-3b,done,0.003796386739446057,False,11,True,0.002789,False,6.14433730561359e-08,1.3228971340595308e-07,
musique_0046,llama3.2-3b,done,0.0038214947507228874,False,15,True,0.002764,False,1.8383059341431363e-07,1.3228971340595308e-07,
musique_0011,llama3.2-3b,done,0.0038405886554921218,False,11,True,0.002842,False,6.560196652571904e-08,1.3228971340595308e-07,
musique_0052,llama3.2-3b,done,0.003871245658956468,False,10,True,0.003374,False,6.49793605589366e-08,1.3228971340595308e-07,
musique_0088,llama3.2-3b,done,0.003892322922492343,False,11,True,0.003151,False,2.0693677527106047e-07,1.3228971340595308e-07,
musique_0064,llama3.2-3b,done,0.00394007363744701,False,11,True,0.002893,False,9.057964689418441e-08,1.3228971340595308e-07,
musique_0025,llama3.2-3b,done,0.003961299009656964,False,15,True,0.003417,False,1.2047713937590743e-07,1.3228971340595308e-07,
musique_0057,llama3.2-3b,done,0.0039997354848310355,False,10,True,0.003811,False,2.669835552637778e-08,1.3228971340595308e-07,
musique_0000,llama3.2-3b,done,0.004061126724991482,False,11,True,0.002962,False,1.585803772741201e-07,1.3228971340595308e-07,
musique_0075,llama3.2-3b,done,0.004098305345859187,False,18,True,0.00296,False,1.3082231475891604e-07,1.3228971340595308e-07,
narrativeqa_0114,llama3.2-3b,done,0.004108444840918916,False,11,True,0.002552,False,8.946906859819137e-08,1.3228971340595308e-07,
musique_0018,llama3.2-3b,done,0.004171905495847265,False,11,True,0.002874,False,1.225486414568877e-07,1.3228971340595308e-07,
musique_0058,llama3.2-3b,done,0.004227089234910002,False,11,True,0.003168,False,1.6491080145897286e-07,1.3228971340595308e-07,
narrativeqa_0038,llama3.2-3b,done,0.004309234692482278,False,14,True,0.003764,False,2.6400083896760407e-08,1.3228971340595308e-07,
musique_0067,llama3.2-3b,done,0.004369953330845023,False,14,True,0.003095,False,8.07818878456601e-08,1.3228971340595308e-07,
musique_0009,llama3.2-3b,done,0.004448973342853909,False,11,True,0.003153,False,8.546283680743727e-08,1.3228971340595308e-07,
musique_0070,llama3.2-3b,done,0.00454239038351391,False,11,True,0.002942,False,7.413851932369653e-08,1.3228971340595308e-07,
musique_0020,llama3.2-3b,done,0.0048465728759765625,False,10,True,0.004414,False,1.949329373474029e-07,1.3228971340595308e-07,
narrativeqa_0056,llama3.2-3b,done,0.0051610492366654355,False,24,True,0.002842,False,9.288132218898681e-08,1.3228971340595308e-07,
qmsum_0061,llama3.2-3b,done,0.005907645403181739,False,11,True,0.002839,False,2.6347737502874224e-07,1.3228971340595308e-07,
narrativeqa_0135,llama3.2-3b,done,0.006822292594454036,False,15,False,0.001473,False,6.797768037358765e-07,1.3228971340595308e-07,
narrativeqa_0106,qwen2.5-3b,done,0.0005021730345163948,True,12,False,0.005648,False,6.423626928153681e-07,1.2440003729352611e-06,
qmsum_0063,qwen2.5-3b,done,0.005143033555493905,False,11,True,0.004253,False,2.0627280150620209e-07,1.2440003729352611e-06,
musique_0061,qwen2.5-3b,done,0.005323527371869064,False,10,True,0.00478,False,7.106247608135163e-07,1.2440003729352611e-06,
narrativeqa_0014,qwen2.5-3b,done,0.00544789937489173,False,11,True,0.004893,False,2.315862985824424e-07,1.2440003729352611e-06,
narrativeqa_0064,qwen2.5-3b,done,0.005512491706758737,False,1,False,0.00446,False,2.28421436077042e-06,1.2440003729352611e-06,
qmsum_0042,qwen2.5-3b,done,0.005613899257566248,False,11,True,0.004349,False,2.6138388875551755e-07,1.2440003729352611e-06,
narrativeqa_0075,qwen2.5-3b,done,0.005746804719540076,False,15,False,0.004328,False,9.191919758677614e-08,1.2440003729352611e-06,
narrativeqa_0039,qwen2.5-3b,done,0.0057994025160691565,False,11,True,0.004289,False,1.3908834262110759e-06,1.2440003729352611e-06,
musique_0015,qwen2.5-3b,done,0.005820264565185286,False,12,False,0.004522,False,7.435533575517184e-07,1.2440003729352611e-06,
narrativeqa_0029,qwen2.5-3b,done,0.005933874307877639,False,12,False,0.005558,False,1.4083062183090078e-07,1.2440003729352611e-06,
narrativeqa_0097,qwen2.5-3b,done,0.005974994866516103,False,11,True,0.003874,False,2.3481486266518914e-07,1.2440003729352611e-06,
musique_0044,qwen2.5-3b,done,0.005987736761856537,False,12,False,0.004202,False,9.642467375670094e-07,1.2440003729352611e-06,
musique_0085,qwen2.5-3b,done,0.006022643903270364,False,11,True,0.004969,False,2.453630543186591e-07,1.2440003729352611e-06,
narrativeqa_0054,qwen2.5-3b,done,0.00604250475705143,False,15,False,0.003796,False,7.397471222247987e-07,1.2440003729352611e-06,
qmsum_0055,qwen2.5-3b,done,0.006098381719008708,False,11,True,0.003573,False,4.945789555677038e-07,1.2440003729352611e-06,
musique_0012,qwen2.5-3b,done,0.006148735039113533,False,11,True,0.005101,False,1.8414451119497244e-07,1.2440003729352611e-06,
narrativeqa_0084,qwen2.5-3b,done,0.006183442637501728,False,3,False,0.005777,True,1.945436736150441e-07,1.2440003729352611e-06,False
qmsum_0021,qwen2.5-3b,done,0.006214606105302922,False,12,True,0.005539,False,3.8307140926008287e-07,1.2440003729352611e-06,
narrativeqa_0081,qwen2.5-3b,done,0.006237415653131493,False,15,False,0.003064,False,3.0080065016591107e-07,1.2440003729352611e-06,
musique_0064,qwen2.5-3b,done,0.006276580247819632,False,11,False,0.004805,False,1.8798297674038622e-07,1.2440003729352611e-06,
qmsum_0006,qwen2.5-3b,done,0.006334708191986594,False,18,True,0.007241,False,2.9692225211874756e-07,1.2440003729352611e-06,
musique_0075,qwen2.5-3b,done,0.006356400694906503,False,12,False,0.004174,False,6.925475304342399e-07,1.2440003729352611e-06,
qmsum_0012,qwen2.5-3b,done,0.006407868349924684,False,9,False,0.004475,False,9.163324534711137e-07,1.2440003729352611e-06,
narrativeqa_0016,qwen2.5-3b,done,0.006420673167502338,False,18,False,0.004705,False,1.203864314902603e-07,1.2440003729352611e-06,
qmsum_0064,qwen2.5-3b,done,0.006475808900884457,False,11,True,0.006181,False,6.340330287457618e-07,1.2440003729352611e-06,
narrativeqa_0032,qwen2.5-3b,done,0.006532187418391308,False,11,True,0.006134,False,2.4104281237669056e-07,1.2440003729352611e-06,
qmsum_0038,qwen2.5-3b,done,0.006598052920566665,False,12,True,0.005578,False,3.120788960586651e-07,1.2440003729352611e-06,
musique_0082,qwen2.5-3b,done,0.006625930784729781,False,12,False,0.005116,False,1.8485565078663058e-07,1.2440003729352611e-06,
musique_0028,qwen2.5-3b,done,0.006658274230236808,False,9,False,0.001297,False,1.7861060541690676e-06,1.2440003729352611e-06,
musique_0019,qwen2.5-3b,done,0.006676278788862484,False,11,True,0.006475,False,1.0003648043266367e-07,1.2440003729352611e-06,
narrativeqa_0096,qwen2.5-3b,done,0.006690543144941329,False,9,False,0.005533,False,3.46795644645681e-07,1.2440003729352611e-06,
